Coin Name,Complete Name,Algorithm,Proof Type,Total Coin Supply
MemoryCoin,MemoryCoin (MMC),Multiple,PoW,10000000
BitcoinPlus,BitcoinPlus (XBC),Scrypt,PoS,1000000
ConSpiracy Coin ,ConSpiracy Coin  (CYC),X11,PoW,33000000
OctoCoin,OctoCoin (OCTO),N/A,N/A,88000000
MasterCoin,MasterCoin (MSC),Scrypt,PoW,619478
Coin.2,Coin.2 (C2),Scrypt,PoW/PoS,N/A
GlowShares,GlowShares (GSX),PoS,PoS,N/A
Camcoin,Camcoin (CAMC),X11,PoW/PoS,10000000
Ribbit Rewards,Ribbit Rewards (RBR),Multiple,PoW,1000000000
Quotient,Quotient (XQN),Scrypt,PoW/PoS,0
ICASH,ICASH (ICASH),X11,PoW,1000000
Node,Node (NODET),Curve25519,PoA,1000000000
SoonCoin,SoonCoin (SOON),SHA-256,PoW,21000000
BitMiles,BitMiles (BTMI),Scrypt,PoW,4832660000
Event Token,Event Token (EVENT),Scrypt,PoW/PoS,0
1Credit,1Credit (1CR),Scrypt,PoW,92000000000
ViorCoin,ViorCoin (VIOR),Scrypt,PoW/PoS,0
XCoin,XCoin (XCO),SHA-256,PoW/PoS,N/A
VirtualMining Coin,VirtualMining Coin (VMC),Scrypt-n,PoW,1000000
MarsCoin,MarsCoin (MARSC),X11,PoW,33000000
Viral Coin,Viral Coin (VIRAL),Scrypt,PoS,N/A
Equilibrium Coin,Equilibrium Coin (EQM),SHA-256,PoW/PoS,0
IslaCoin,IslaCoin (ISL),X11,PoW/PoS,0
Quicksilver coin,Quicksilver coin (QSLV),X11,PoW,33000000
World Trade Funds,World Trade Funds (XWT),X15,PoW/PoS,1000000
DeOxyRibose,DeOxyRibose (XNA),X11,PoS,0
RadonPay,RadonPay (RDN),N/A,PoS,0
SkullBuzz,SkullBuzz (SKB),SHA-256,PoS,0
GlobalBoost,GlobalBoost (BSTY),Yescript,PoW,N/A
CryptoFocus,CryptoFocus (FCS),X11,PoW/PoS,0
Gambit coin,Gambit coin (GAM),N/A,N/A,2599999
Crypto Escudo,Crypto Escudo (CESC),Scrypt,PoW,1000000000
Twelve Coin,Twelve Coin (TWLV),T-Inside,PoW/PoS,0
EagsCoin,EagsCoin (EAGS),X11,PoW/PoS,20445500
AudioCoin,AudioCoin (ADC),Scrypt,PoW/PoS,10500000000
MarsCoin ,MarsCoin  (MARS),X11,PoW,33000000
Megastake,Megastake (XMS),X11,PoW/PoS,0
Sphere Coin,Sphere Coin (SPHR),Scrypt,PoW/PoS,N/A
Singular,Singular (SIGU),Scrypt,PoW/PoS,0
SupplyShock,SupplyShock (M1),X13,PoW/PoS,0
DarkBit,DarkBit (DB),Scrypt,PoW/PoS,0
Crypto,Crypto (CTO),Lyra2RE,PoW,65789100
EdgeCoin,EdgeCoin (EDGE),SHA-256,PoW/HiPoS,N/A
BitLux,BitLux (BITL),X11,PoW/PoS,0
FutCoin,FutCoin (FUTC),X13,PoW/PoS,0
Global,Global (GLOBE),N/A,PoS,90000000
TamaGucci,TamaGucci (TAM),Scrypt,PoW/PoS/PoC,5300000
MorpheusCoin,MorpheusCoin (MRP),X11,PoW,3400000
Creva Coin,Creva Coin (CREVA),X11,N/A,0
Forever Coin,Forever Coin (XFRC),X11,PoS,210000000
BananaBits,BananaBits (NANAS),Scrypt,PoW/PoS,0
Wood Coin,Wood Coin (LOG),Skein,PoW, 27625814
Cerium,Cerium (XCE),SHA-256,PoW/PoS,2307925
Anarchists Prime,Anarchists Prime (ACP),SHA-256,PoW,53760000
Droidz,Droidz (DRZ),QUAIT,PoW/PoS,5060000
BowsCoin,BowsCoin (BSC),X11,PoW,21000000
DarkTron,DarkTron (DRKT),SHA-256,PoW/PoS,1500000
CryptoCircuits,CryptoCircuits (CIRC),vDPOS,PoS,0
IncaKoin,IncaKoin (NKA),SHA-256,PoW/PoS,190000000
Versa Token,Versa Token (VERSA),N/A,PoS,0
Empyrean,Empyrean (EPY),Scrypt,PoW,100000
Squall Coin,Squall Coin (SQL),X11,PoS/PoW,0
Piggy Coin,Piggy Coin (PIGGY),X11,PoW/PoS,1000000000
Charity Coin,Charity Coin (CHA),Scrypt,PoW,500000
Milllionaire Coin,Milllionaire Coin (MIL),X11,PoW/PoS,0
PharmaCoin,PharmaCoin (XPH),N/A,N/A,0
GridMaster,GridMaster (GRM),N/A,N/A,0
Quartz,Quartz (QTZ),SHA-256,PoW/PoS,0
Arbit Coin,Arbit Coin (ARB),SHA-256,PoW/PoS,N/A
Litestar Coin,Litestar Coin (LTS),X11,PoW/PoS,120000000
SpinCoin,SpinCoin (SPC),NIST5,PoW/PoS,0
GoldPieces,GoldPieces (GP),X11,PoW/PoS,N/A
Bitz Coin,Bitz Coin (BITZ),N/A,PoS,0
DubCoin,DubCoin (DUB),X15,PoW/PoS,0
Graviton,Graviton (GRAV),SHA-256,PoW/PoS,0
Quazar Coin,Quazar Coin (QCN),CryptoNight,PoW,18446744
Hedgecoin,Hedgecoin (HEDGE),X13,PoW,33000000
Song Coin,Song Coin (SONG),Scrypt,PoW,210240000
BitSeeds,BitSeeds (XSEED),SHA-256,PoW/PoS,0
Axiom Coin,Axiom Coin (AXIOM),N/A,PoW/PoS,0
SmileyCoin,SmileyCoin (SMLY),Scrypt,PoW,50000000000
Rimbit,Rimbit (RBT),N/A,N/A,0
Chip,Chip (CHIP),X11,PoW,0
SpecCoin,SpecCoin (SPEC),Scrypt,PoW,3000000000
UnCoin,UnCoin (UNC),X11,N/A,144000000000
Sprouts,Sprouts (SPRTS),SHA-256,PoW/PoS,0
BitZeny,BitZeny (ZNY),Scrypt,PoW,250000000
BitQuark,BitQuark (BTQ),Multiple,PoW,0
ParkByte,ParkByte (PKB),SHA-256,PoW/PoS,25000000
Synergy,Synergy (SNRG),X11,PoW/PoS,N/A
Ghoul Coin,Ghoul Coin (GHOUL),N/A,PoW/PoS,0
Diggits,Diggits (DIGS),Scrypt,PoS,100000000
Global Currency Reserve,Global Currency Reserve (GCR),PoS,PoS,N/A
MapCoin,MapCoin (MAPC),X11,PoS,2228921.184
XiaoMiCoin,XiaoMiCoin (MI),Scrypt,PoW/PoS,400000000
Paycon,Paycon (PAYCON),X13,PoW/PoS,50000000
Transfer,Transfer (TX),X11,PoW/PoS,N/A
CleverCoin,CleverCoin (CLV),N/A,PoS/PoW,0
Factom,Factom (FCT),N/A,N/A,0
LyraBar,LyraBar (LYB),Lyra2RE,PoW/PoS,0
Prime-X1,Prime-X1 (PXI),X11,PoW,N/A
CapriCoin,CapriCoin (CPC),X11,PoW/PoS,208000000
Amsterdam Coin,Amsterdam Coin (AMS),Quark,PoW/PoS,N/A
Obits Coin,Obits Coin (OBITS),N/A,N/A,18276898
 ClubCoin, ClubCoin (CLUB),Scrypt,PoW/PoS,160000000
Radium,Radium (RADS),PoS,PoS,9000000
BlitzCoin,BlitzCoin (BLITZ),X13,PoS,3852156
EverGreenCoin,EverGreenCoin (EGC),X15,PoW/PoS,26298000
MindCoin,MindCoin (MND),X11,PoW,16000000
I0coin,I0coin (I0C),SHA-256,PoW,21000000
Nas2Coin,Nas2Coin (NAS2),N/A,PoS,200000000
Pakcoin,Pakcoin (PAK),Scrypt,PoW,182000000
Creditbit ,Creditbit  (CRB),X11,Proof of Trust,16504333
DogeCoinDark,DogeCoinDark (DOGED),Scrypt,PoW,16500000000
Augur,Augur (REP),N/A,N/A,11000000
OKCash,OKCash (OK),SHA-256,PoW/PoS,105000000
Revolution VR,Revolution VR (RVR),Scrypt,PoW,210000000
HOdlcoin,HOdlcoin (HODL),1GB AES Pattern Search,PoW,81962100
Digix DAO,Digix DAO (DGD),N/A,N/A,1999421
EDRCoin,EDRCoin (EDRC),SHA-256,PoW/PoS,22000000
Hitcoin,Hitcoin (HTC),X11,PoW/PoS,26550000000
Dashcoin,Dashcoin (DSH),CryptoNight,PoW,18446744
DubaiCoin,DubaiCoin (DBIC),SHA-256,PoW/PoS,10500000
HiCoin,HiCoin (XHI),Scrypt,PoS,10008835635
BiosCrypto,BiosCrypto (BIOS),Quark,PoW/PoS,20190463.54969237
CabbageUnit,CabbageUnit (CAB),N/A,PoS,10499999.99999999
CarpeDiemCoin,CarpeDiemCoin (DIEM),SHA-256,PoW,21626280000 
GameBetCoin,GameBetCoin (GBT),POS 3.0,PoS,N/A
RedCrowCoin,RedCrowCoin (RCX),Scrypt,PoW/PoS,3966666667
PWR Coin,PWR Coin (PWR),NIST5,PoW/PoS,0
TrumpCoin,TrumpCoin (TRUMP),Blake,PoS,12000000
PrismChain,PrismChain (PRM),SHA-256,PoW/PoS,N/A
BitCrystals,BitCrystals (BCY),Counterparty,N/A,100000000
